prime,prime.result,target,congruent,operand,distance,counterbalance,1,9,17,25,33,2,10,18,26,34,41,6,14,22,30,38,5,13,21,29,37
=4+2+3,9,9,yes,A,0,1,768,1084,664,628,664,596,,628,248,700,699,596,561,663,524,664,525,700,908,597,664
=5+3+1,9,9,yes,A,0,1,,909,524,664,628,524,596,872,560,597,595,352,597,872,628,596,596,628,628,665,664
=6+2+1,9,9,yes,A,0,1,976,1048,560,523,627,597,629,628,664,768,628,420,560,736,559,561,559,596,597,736,560
=1+3+6,10,10,yes,A,0,1,596,1188,492,628,700,840,628,597,560,664,596,523,524,700,456,524,736,596,664,,628
=1+7+2,10,10,yes,A,0,1,700,700,596,664,597,492,700,629,456,628,664,664,523,700,596,,664,,664,560,
=2+3+5,10,10,yes,A,0,1,596,736,524,560,700,524,596,664,,596,560,559,525,872,525,596,908,628,872,628,663
=4+1+5,10,10,yes,A,0,1,560,804,524,699,767,456,,701,523,596,596,664,559,596,420,560,701,560,492,664,628
=4+5+1,10,10,yes,A,0,1,872,1188,768,560,628,664,664,597,560,664,596,524,628,664,456,524,871,1084,628,561,628
=5+3+2,10,10,yes,A,0,1,768,1255,628,596,596,628,596,768,492,737,,628,524,596,492,491,871,628,524,664,700
=2+4+5,11,11,yes,A,0,1,804,804,664,664,,664,,769,596,1116,767,,559,805,627,597,492,628,700,872,
=2+8+1,11,11,yes,A,0,1,804,908,699,700,736,664,664,872,628,629,735,,420,768,596,628,627,1012,628,596,596
=3+2+6,11,11,yes,A,0,1,804,737,,805,663,560,664,664,,664,767,596,524,804,596,628,664,628,213,737,597
=3+7+1,11,11,yes,A,0,1,908,1084,628,664,737,561,597,804,559,559,525,597,596,768,597,664,524,596,664,840,523
=4+1+6,11,11,yes,A,0,1,804,945,700,840,840,664,596,804,665,,628,699,700,736,492,597,596,664,595,700,628
=4+5+2,11,11,yes,A,0,1,803,769,597,628,841,664,628,735,384,628,700,736,700,596,664,492,736,,525,840,628
=6+2+3,11,11,yes,A,0,1,803,1189,628,768,840,597,768,840,560,664,735,628,597,805,595,805,736,628,596,737,664
=7+3+1,11,11,yes,A,0,1,839,872,,737,767,803,596,664,597,804,559,628,700,945,595,628,628,976,596,664,735
=1+2+9,12,12,yes,A,0,1,736,907,944,736,664,628,664,804,699,664,664,735,595,803,595,628,596,803,768,909,
=2+6+4,12,12,yes,A,0,1,700,943,664,664,524,596,628,840,664,628,628,735,699,700,596,628,700,735,1048,769,559
=4+2+6,12,12,yes,A,0,1,700,665,,561,840,664,628,975,560,664,701,664,700,768,456,769,664,,1152,804,699
=4+7+1,12,12,yes,A,0,1,804,803,628,628,840,628,664,736,492,804,737,840,597,735,628,664,628,839,1048,804,737
=5+3+4,12,12,yes,A,0,1,976,736,628,664,560,663,665,701,560,737,664,,664,840,596,628,840,1049,596,664,455
=6+1+5,12,12,yes,A,0,1,735,768,664,664,664,768,595,737,628,628,665,700,736,908,524,700,596,664,872,665,871
=6+4+2,12,12,yes,A,0,1,628,664,628,596,840,628,701,977,492,805,664,491,560,628,524,700,735,700,700,628,1220
=7+2+3,12,12,yes,A,0,1,664,769,596,595,,769,700,768,628,560,596,,628,871,524,597,560,664,699,768,1012
=7+3+2,12,12,yes,A,0,1,595,908,701,595,804,628,736,700,524,769,595,628,664,700,597,664,804,769,456,840,1012
=9+1+2,12,12,yes,A,0,1,736,907,699,699,628,596,628,840,560,737,628,628,628,736,596,596,628,909,767,737,872
=4+2+7,13,13,yes,A,0,1,596,525,699,768,736,628,664,561,628,664,628,664,628,629,560,595,596,700,629,,628
=6+4+3,13,13,yes,A,0,1,,872,735,628,736,701,596,664,664,595,628,492,596,627,628,596,664,700,701,872,872
=6+5+2,13,13,yes,A,0,1,699,873,735,628,628,628,736,804,596,597,596,840,664,665,524,597,701,700,840,596,523
=8+2+3,13,13,yes,A,0,1,700,1256,628,561,736,664,628,736,628,628,803,804,804,736,596,597,596,840,628,767,699
=9+1+3,13,13,yes,A,0,1,769,944,492,628,700,804,628,664,560,804,596,975,596,699,560,664,737,663,803,628,1084
=9+3+1,13,13,yes,A,0,1,700,768,700,664,871,664,664,1360,,596,,597,943,841,493,664,595,908,664,769,872
=2+7+5,14,14,yes,A,0,1,804,840,664,561,1011,628,768,1012,596,700,664,248,596,597,525,597,736,736,908,701,664
=7+3+4,14,14,yes,A,0,1,767,736,560,769,664,664,805,559,492,700,596,596,665,664,628,140,561,560,493,804,664
=3-1-2,0,4,no,S,-4,1,664,804,596,597,664,735,560,628,561,628,628,735,492,767,595,559,664,663,561,664,560
=4-3-1,0,2,no,S,-2,1,768,803,597,737,768,735,628,768,596,701,664,737,736,701,597,700,735,628,943,736,664
=5-1-4,0,3,no,S,-3,1,840,735,699,700,665,736,560,560,596,769,525,736,628,735,597,596,872,735,559,664,628
=5-3-2,0,1,no,S,-1,1,804,804,664,736,841,525,665,596,700,804,492,560,664,804,735,628,664,872,976,872,524
=6-4-2,0,1,no,S,-1,1,803,1219,699,492,767,628,492,524,664,804,524,736,597,944,456,560,595,628,664,737,736
=6-5-1,0,3,no,S,-3,1,628,872,700,596,700,664,560,701,628,596,560,768,628,628,523,629,700,628,628,700,628
=7-1-6,0,3,no,S,-3,1,944,1084,559,492,736,525,628,664,628,596,,805,596,597,560,524,803,628,768,664,664
=7-2-5,0,1,no,S,-1,1,840,908,664,700,663,840,663,664,700,595,595,628,628,595,664,663,700,455,736,872,736
